"","x"
"1","CHACHAPOYAS"
"2","BAGUA"
"3","BONGARA"
"4","CONDORCANQUI"
"5","LUYA"
"6","RODRIGUEZ DE MENDOZA"
"7","UTCUBAMBA"
"8","HUARAZ"
"9","AIJA"
"10","ANTONIO RAYMONDI"
"11","ASUNCION"
"12","BOLOGNESI"
"13","CARHUAZ"
"14","CARLOS FERMIN FITZCARRALD"
"15","CASMA"
"16","CORONGO"
"17","HUARI"
"18","HUARMEY"
"19","HUAYLAS"
"20","MARISCAL LUZURIAGA"
"21","OCROS"
"22","PALLASCA"
"23","POMABAMBA"
"24","RECUAY"
"25","SANTA"
"26","SIHUAS"
"27","YUNGAY"
"28","ABANCAY"
"29","ANDAHUAYLAS"
"30","ANTABAMBA"
"31","AYMARAES"
"32","COTABAMBAS"
"33","CHINCHEROS"
"34","GRAU"
"35","AREQUIPA"
"36","CAMANA"
"37","CARAVELI"
"38","CASTILLA"
"39","CAYLLOMA"
"40","CONDESUYOS"
"41","ISLAY"
"42","LA UNION"
"43","HUAMANGA"
"44","CANGALLO"
"45","HUANCA SANCOS"
"46","HUANTA"
"47","LA MAR"
"48","LUCANAS"
"49","PARINACOCHAS"
"50","PAUCAR DEL SARA SARA"
"51","SUCRE"
"52","VICTOR FAJARDO"
"53","VILCAS HUAMAN"
"54","CAJAMARCA"
"55","CAJABAMBA"
"56","CELENDIN"
"57","CHOTA"
"58","CONTUMAZA"
"59","CUTERVO"
"60","HUALGAYOC"
"61","JAEN"
"62","SAN IGNACIO"
"63","SAN MARCOS"
"64","SAN MIGUEL"
"65","SAN PABLO"
"66","SANTA CRUZ"
"67","CALLAO"
"68","CUSCO"
"69","ACOMAYO"
"70","ANTA"
"71","CALCA"
"72","CANAS"
"73","CANCHIS"
"74","CHUMBIVILCAS"
"75","ESPINAR"
"76","LA CONVENCION"
"77","PARURO"
"78","PAUCARTAMBO"
"79","QUISPICANCHI"
"80","URUBAMBA"
"81","HUANCAVELICA"
"82","ACOBAMBA"
"83","ANGARAES"
"84","CASTROVIRREYNA"
"85","CHURCAMPA"
"86","HUAYTARA"
"87","TAYACAJA"
"88","HUANUCO"
"89","AMBO"
"90","DOS DE MAYO"
"91","HUACAYBAMBA"
"92","HUAMALIES"
"93","LEONCIO PRADO"
"94","MARAÑON"
"95","PACHITEA"
"96","PUERTO INCA"
"97","LAURICOCHA"
"98","YAROWILCA"
"99","ICA"
"100","CHINCHA"
"101","NASCA"
"102","PALPA"
"103","PISCO"
"104","HUANCAYO"
"105","CONCEPCION"
"106","CHANCHAMAYO"
"107","JAUJA"
"108","JUNIN"
"109","SATIPO"
"110","TARMA"
"111","YAULI"
"112","CHUPACA"
"113","TRUJILLO"
"114","ASCOPE"
"115","BOLIVAR"
"116","CHEPEN"
"117","JULCAN"
"118","OTUZCO"
"119","PACASMAYO"
"120","PATAZ"
"121","SANCHEZ CARRION"
"122","SANTIAGO DE CHUCO"
"123","GRAN CHIMU"
"124","VIRU"
"125","CHICLAYO"
"126","FERREÑAFE"
"127","LAMBAYEQUE"
"128","LIMA"
"129","BARRANCA"
"130","CAJATAMBO"
"131","CANTA"
"132","CAÑETE"
"133","HUARAL"
"134","HUAROCHIRI"
"135","HUAURA"
"136","OYON"
"137","YAUYOS"
"138","MAYNAS"
"139","ALTO AMAZONAS"
"140","LORETO"
"141","MARISCAL RAMON CASTILLA"
"142","REQUENA"
"143","UCAYALI"
"144","DATEM DEL MARAÑON"
"145","PUTUMAYO"
"146","TAMBOPATA"
"147","MANU"
"148","TAHUAMANU"
"149","MARISCAL NIETO"
"150","GENERAL SANCHEZ CERRO"
"151","ILO"
"152","PASCO"
"153","DANIEL ALCIDES CARRION"
"154","OXAPAMPA"
"155","PIURA"
"156","AYABACA"
"157","HUANCABAMBA"
"158","MORROPON"
"159","PAITA"
"160","SULLANA"
"161","TALARA"
"162","SECHURA"
"163","PUNO"
"164","AZANGARO"
"165","CARABAYA"
"166","CHUCUITO"
"167","EL COLLAO"
"168","HUANCANE"
"169","LAMPA"
"170","MELGAR"
"171","MOHO"
"172","SAN ANTONIO DE PUTINA"
"173","SAN ROMAN"
"174","SANDIA"
"175","YUNGUYO"
"176","MOYOBAMBA"
"177","BELLAVISTA"
"178","EL DORADO"
"179","HUALLAGA"
"180","LAMAS"
"181","MARISCAL CACERES"
"182","PICOTA"
"183","RIOJA"
"184","SAN MARTIN"
"185","TOCACHE"
"186","TACNA"
"187","CANDARAVE"
"188","JORGE BASADRE"
"189","TARATA"
"190","TUMBES"
"191","CONTRALMIRANTE VILLAR"
"192","ZARUMILLA"
"193","CORONEL PORTILLO"
"194","ATALAYA"
"195","PADRE ABAD"
"196","PURUS"
